region_name,genre,demand_index,recommendation_rank
경상남도 창원시 마산회원구,클래식 기악,0.6103017029219701,1
경상남도 창원시 마산회원구,무용,0.14831212215604464,2
경상남도 창원시 마산회원구,뮤지컬,0.13935316420601573,3
경상남도 창원시 성산구,클래식 기악,0.5953063299121295,1
경상남도 창원시 성산구,무용,0.1587305374632774,2
경상남도 창원시 성산구,뮤지컬,0.14629204947381202,3
경상남도 창원시 의창구,클래식 기악,0.6032632522309322,1
경상남도 창원시 의창구,무용,0.153156437600277,2
경상남도 창원시 의창구,뮤지컬,0.14265296366597238,3
경상남도 창원시 진해구,클래식 기악,0.5996108989036877,1
경상남도 창원시 진해구,무용,0.1562354392780654,2
경상남도 창원시 진해구,뮤지컬,0.14408130216041992,3
경상남도 통영시,클래식 기악,0.6142689477447363,1
경상남도 통영시,무용,0.14600795079796386,2
경상남도 통영시,뮤지컬,0.1368655537440221,3
경상남도 하동군,클래식 기악,0.6418760501087354,1
경상남도 하동군,무용,0.12593238341037932,2
경상남도 하동군,뮤지컬,0.12490227648913706,3
경상남도 함안군,클래식 기악,0.6248225283990031,1
경상남도 함안군,무용,0.13842129948786136,2
경상남도 함안군,뮤지컬,0.13223937430425364,3
경상남도 함양군,클래식 기악,0.6373911625663218,1
경상남도 함양군,무용,0.12936350623892334,2
경상남도 함양군,뮤지컬,0.12686915824104242,3
경상남도 합천군,클래식 기악,0.6460866482434773,1
경상남도 합천군,뮤지컬,0.12350374544604455,2
경상남도 합천군,무용,0.12277548307332083,3
경상북도 경산시,클래식 기악,0.6068636581891744,1
경상북도 경산시,무용,0.15037636933155785,2
경상북도 경산시,뮤지컬,0.1415542646621642,3
경상북도 경주시,클래식 기악,0.6178588653018607,1
경상북도 경주시,무용,0.14291917113047775,2
경상북도 경주시,뮤지컬,0.13590642942416034,3
경상북도 고령군,클래식 기악,0.6357963919572217,1
경상북도 고령군,무용,0.1300442855866337,2
경상북도 고령군,뮤지컬,0.12783663730775457,3
경상북도 구미시,클래식 기악,0.5919791173584928,1
경상북도 구미시,무용,0.16135767974426385,2
경상북도 구미시,뮤지컬,0.14781793510231422,3
경상북도 김천시,클래식 기악,0.6161347122149512,1
경상북도 김천시,무용,0.14446717133961015,2
경상북도 김천시,뮤지컬,0.13664092066152744,3
경상북도 문경시,클래식 기악,0.6313783843097714,1
경상북도 문경시,무용,0.13350594918524736,2
경상북도 문경시,뮤지컬,0.12984573654627043,3
경상북도 봉화군,클래식 기악,0.6442240642759509,1
경상북도 봉화군,무용,0.12434371896992766,2
경상북도 봉화군,뮤지컬,0.12393367176448866,3
경상북도 상주시,클래식 기악,0.631988325945316,1
경상북도 상주시,무용,0.13315650344352398,2
경상북도 상주시,뮤지컬,0.1295051201366752,3
경상북도 성주군,클래식 기악,0.6375653966226895,1
경상북도 성주군,무용,0.12868759399127958,2
경상북도 성주군,뮤지컬,0.12714636144977795,3
경상북도 안동시,클래식 기악,0.6182230703706831,1
경상북도 안동시,무용,0.14269419659367277,2
경상북도 안동시,뮤지컬,0.13607757552695743,3
경상북도 영덕군,클래식 기악,0.642116083919546,1
경상북도 영덕군,무용,0.12567017585388376,2
경상북도 영덕군,뮤지컬,0.12525622003736087,3
경상북도 영양군,클래식 기악,0.6406530397431569,1
경상북도 영양군,무용,0.12660709750186483,2
경상북도 영양군,뮤지컬,0.12587310086167974,3
경상북도 영주시,클래식 기악,0.6242773886015105,1
경상북도 영주시,무용,0.13869727428914255,2
경상북도 영주시,뮤지컬,0.1329121740999251,3
경상북도 영천시,클래식 기악,0.6283454244641413,1
경상북도 영천시,무용,0.13550022798267253,2
경상북도 영천시,뮤지컬,0.13123122851510963,3
경상북도 예천군,클래식 기악,0.6213941512202579,1
